Owner Address,Count,Total Supposed Barb,Received Barb,Delta Barb
RL5ONZXK2D6Y2OAZH7CFDYDNKSS4XV7C36SB7I5C6TMLYVITSDUML3VJ4U,1,45745.65416,0,45745.65416
SY5X2FXT4C6SHI3AFY5MQCH7TDKCFZIUN73O2WSFS3BNIKTENV46OTRWAE,1,45745.65416,0,45745.65416
4F5NK7LAM3LSXWF3YR6DBUTLDJD5H6T2MPNKLD3AXKEYZOIWSWYXGYS3ZM,3,137236.96248,91491.30832,45745.65415999999
ZJUS6ZB5TP5RDAKMJK7XIS3AD4GZDVTKIRADDLOMEWM3EKS5KRZ4PLKRQM,1,45745.65416,0,45745.65416
L2W7SMWIIIKPF6OYEERQ4T7U2SYRVZO2WDXXBAOJQBLG4JFYXCRZL32RUA,1,45745.65416,0,45745.65416
RAGODBUMGCWXADJAPNRQFNDKIDF4YECSR6N2R66ZVNWQSB3PE7H5HWKTW4,1,45745.65416,0,45745.65416
662CLHMROIFB7V6OUVFOCRTM63W76TACBLUXPCHQOJLCLAVS6IDQLPI4DE,1,45745.65416,0,45745.65416
OWLCUFTOGACLCGGE2UQEIUSJGXI7Y5BBPQ77FFJ3YFD64TQMQ5CQZLBPNQ,1,45745.65416,0,45745.65416
43HK4Y3NKUVBPRPPHPCDO2ZKIOZQ4UBOI3IMHJYKEP4VD33ZSVYVXVPKXU,1,45745.65416,0,45745.65416
S2G2CIFTK3F4SJVGWCGDPAZ4DQL26GVMK6R74SBUS7MXZPUBRGJDLEAB4E,1,45745.65416,0,45745.65416
SEEDFGGN7DWG7VMT5QIEG6AXKDJM7WSHEYLODYB2OTYJ4VOBKL4C6ABJCI,1,45745.65416,0,45745.65416
BO2QAYOMEGEG56RJ6RXTNQQYYGDZM2V3CAMQIKATNMU35SERCCWPBTFG64,1,45745.65416,0,45745.65416
UEFIRHD5MWSPBAKZ65OSGO5BUO6VOQ4CWXE7XR4GZWMP6ZBOY2T5VOTZP4,1,45745.65416,0,45745.65416
KECTXQF4SLU5D2LWISPCNZU7QZ2HIPP4TIWHVPJRBKA2PNC5XSI2BEZUOE,1,45745.65416,0,45745.65416
LZYGPFUMRE7FKOUFA72EJN5OZ3M5VJJQAJZR7IMRUSMPI6YB6MHTQND6BQ,2,91491.30832,0,91491.30832
4JKEBL55T7E7IZSDR6ECR4Z4ZBA56LBZBVBZZEGNRC62XHRCLIBFJWSNB4,1,45745.65416,0,45745.65416
GASTVTSB3UI3RKFQXAVNSSVW7OG5JCTOANQSQIQCDWS7QBRK3FNAEH24MM,1,45745.65416,0,45745.65416
E7N3AYZWAC34IUZAYYX54S6VNWR44VVNBOUPYF37DUKVKGFOWFXAPVQIG4,1,45745.65416,0,45745.65416
NTLLUHZFMKIRMJCXLPJUSWLJNTNFV7MHVH5YSUWID6O6ZLL3C4Q7CCNHQQ,1,45745.65416,0,45745.65416
TZTF7OS34ROEVBGNJEH2WOM2RYUN4TEF4OP3H524G4L3E7LQXIVF3PIT7U,1,45745.65416,0,45745.65416
4M45JDHTUDFO2ESVYCITWK6ONXXW4NKNCLDLCEWJMO7ICOQ2BWEWWKJX5E,1,45745.65416,0,45745.65416
F6YQMXZX76SQDIJHC7QPD2ZW5ONWWMFA4CZI4XT3FRHLQZXXVIELBOYLPM,13,594693.50408,0,594693.50408
CNSTOBT3WNA4AQELZXPARCM76ZWXAJZCVGKYNEQEMST33YGEA4PWIJCRCE,1,45745.65416,0,45745.65416
W74UAZWKNFPLE33HL2ZONRDAETOAM3ITUCELQHIQTHNEIO2RHXICLEYMYY,1,45745.65416,0,45745.65416
E2EGOZ6D2A7MSOACDLJNY5HFFZ5X3DPVV6CYEGNKOZ2HZSX3BGBPDNJBWQ,1,45745.65416,0,45745.65416
ISA3LL7U7CRIKLKD5N2VIJPWTC5KZ56FRFPLJCCDOLIOX6XI7QBCO5253U,1,45745.65416,0,45745.65416
IBLRQHWARVN6HVYQETCZWVKIDT5QCVXG66GGQTUTWH2MGSF7MBYR2QW2C4,1,45745.65416,0,45745.65416
BHJXOUZHJCB2FSTV3CWOFRLIFYYWC6JFGCKVCB2DSBKIHFDOGMENJTTNN4,1,45745.65416,0,45745.65416
PBWMWKJDZVBUS4GWQCEZMATZN57OWHDLYFAHQMGB2CUXQTB3LD2F64KSLE,1,45745.65416,0,45745.65416
DKV6UPVLJXREFURLKJF7MVFDBUVBHUWSTL7QVUYHG633EY6TPFHLEXUOIM,1,45745.65416,0,45745.65416
HR6OHQEKPGLNPQ27JCAC5IHNBZLST5WBF22VKQY6YZKMEAH7HUSLFSUZTM,1,45745.65416,0,45745.65416
VHMXUIBW3SKTLCG5V2EWCHIJZ2QTRKLXWXB6O6WDG7RYZHDTB5ATJE3M4Y,1,45745.65416,0,45745.65416
YIS2QPG45FNOY3VCB5EDWDLPN7BGC3WECANED5CL3PN6IS3T4UKG7ME3HE,1,45745.65416,0,45745.65416
NEELMK7GKTAXM6TV7H3WBI7YYEI7EZ2SYNIPEEXE6CYALGNUU5EULK4UIE,1,45745.65416,0,45745.65416
2W2RH22CXCIA3TGDMIEGBP3GFKAIE33LCE237LTUWNCIDIUIEBEMWZQACQ,1,45745.65416,0,45745.65416
RJSWD3TB4LWPANBEVFQTG7VXYXQSFLOLVY4MY6J62HL6UMZPDIYH2XMTZA,8,365965.23328,0,365965.23328
SZ45UCRXVICJBG3F53UJK6Q54OTCX4QOM433VKTBECTZAUAEWAEQH324AY,1,45745.65416,0,45745.65416
HMU6VVEFQMACFZMJWUVCEVDX2VQGFRQFT6GAJR3JKX4532TSNFXVREXPJI,1,45745.65416,0,45745.65416
BCEPAPM76GM6HQXTM3MWTC4HZ6SQ7H6WE3SXLX6ORU6NUNEIUPUOWPAZFI,1,45745.65416,0,45745.65416
JKRLTA4HCYOIHI4XWAFYOJZGZM6RFLI3LS7VEHJP35JPCF5IICPSTPMUSI,1,45745.65416,0,45745.65416
OKHKW42WHQROEHLG32KTADXH7YWWND7AM52SGOMRTTWM2HWXESGKW42GGM,1,45745.65416,0,45745.65416
2N4K3DVNOVQAFBYUYB4XUO3UQMUV4MNCAZEGNMDDU24APACI2XV7N7XYCU,1,45745.65416,0,45745.65416
JB5OJJJDMVQDOL3NTQINVXMEBZ3VOYCRTVVZXZQKED452JJL5G3RC4JAHE,1,45745.65416,0,45745.65416
N7I2XFVRFNOSTMSWP4NPFRE3PW7MXO7WEI5SVDRK6GS7O7Y3O6VF3SCSSU,1,45745.65416,0,45745.65416
RYDOEMPIHEMTA27KJCVGAFPQJPAV2BJDM2NCOVF5HEXEEVISE2JEA3TPTM,1,45745.65416,0,45745.65416
IGP26NU4CCEMIMZCRBCRHTLLWJZD3TLJPGGYFZKU3DZAXIGWV2VHT7SQDA,1,45745.65416,0,45745.65416
7TW7SHBPOCJGXCWHRUP3DXUHIQDBVHTOPIFWPBU4CAALQ3RZJDZHVCRP24,1,45745.65416,0,45745.65416
ZWPATYTOH5QBGNTKLZFGOB6ZGD2LSY4UYRQQATC2ASFMYFT2VVWDAMVSZ4,1,45745.65416,0,45745.65416
HTHMSZH6RI3SDCUETX5HEYVRQ54PZIZAHQVFONIS24JTVILLBDUQVCJEXQ,1,45745.65416,0,45745.65416
TDWVQ6PJPKRE57JGMBLAGBEKKYSEZZAGQRDL5TW2J34CE7JGN7OMFAINJQ,1,45745.65416,0,45745.65416
JBO3VKMFJFGHRF6IRL526C2OMC2XZIPOXC6BV77IHDPLNELSZNSEHBFAJI,1,45745.65416,0,45745.65416
ODQCBR2IE6CC3VVRXNAHFM2INOUDC5W77CODH345YETIW6LIKF2YXMK5NA,1,45745.65416,0,45745.65416
PV7P57PJQZQ62L4WZJ5OWUB542CB7CMGATRVLA5DRO5HQPSBM35I5PRUBQ,1,45745.65416,0,45745.65416
RTLTHCACWZSFJITVDJOS5GXVUPLVLW27Z4UT2XYHTAWQSCV6V77C7ROJ54,1,45745.65416,0,45745.65416
JON27UNKILRNXXHVKJ4JIS4BFVRUAOK5LLANHUA4PQCNXSSUI4CF6QUI6Q,2,91491.30832,45745.65416,45745.65416
